ID,Bio_Origin,Plant_Origin,Orphan_Drug,Homeopathic,Early_Termination,Manual_URL,Shelf_Life,Shelf_Life_Value,Shelf_Life_Unit
4B54FAC4830861F2C22584B6002A242C,False,,,,,,,,
F7111E2E9C5AA7C2C225872600211DA9,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/74E8DFB2C3427265C2258ACF00497959/$file/UA173160101_21FA.pdf,2 роки,2.0,рік
76AFFBAF0B19FF39C225872600217C5C,False,False,False,False,False,,5 років (період переконтролю),5.0,рік
C9AB892F576B11B6C225860800243A25,False,False,False,False,False,,переконтроль кожні 4 роки,4.0,рік
F86E8E355BD1EEC9C2258B40003F2F72,False,False,False,False,False,,3 роки,3.0,рік
4F9AF7BF6CB63D3AC2258B40003F724B,False,False,False,False,False,,період переконтролю - 60 місяців,5.0,рік
FC8276D549F8731CC2258BAF0039D317,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/32075F30BDB38EC442258ABB003F0EE1/$file/UA51140101_DFF5.mht,2 роки,2.0,рік
7E075330A93F1BCDC2258B1700298D7F,False,True,False,False,False,,2 роки,2.0,рік
60A8AF295D6D172BC225860000397F65,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/110AEC43A832D7AB42258BAF00364AE6/$file/UA51140201_6769.mht,5 років,5.0,рік
EDC5190FD5351E48C2258B5500337F58,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/5201695FAE3A471DC2258ACF004B00BC/$file/UA51140202_27EE.mht,5 років,5.0,рік
1D5A84CE3917B9A7C225855400296DF3,False,True,False,False,False,,термін переконтролю - 5 років,5.0,рік
065B0CFD3D0A5038C225882C0058E647,False,True,False,False,False,,термін переконтролю 5 років,5.0,рік
0046B862C49B0EC8C2258A0E0037297A,False,True,False,False,False,,3 роки,3.0,рік
EFCF4EE5F2AB8241C2258B170027BF1B,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/D256485E55BC5DDD42258BD9004065CF/$file/UA125320101_2C6F.mht,2 роки,2.0,рік
